	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	P.value.adj.BasalvsLP	P.value.adj.BasalvsML	P.value.adj.LPvsML	F	F.p.value
Xkr4	-1.70990945233895	6.63911055903909	7.09862914422957	0.459518585190477	7.7594654780101	9.77296640570744	0.422315435008997	1.51610146970994e-05	1.92644395693715e-06	0.681710643526306	9.86065623179893e-05	1.31090103145621e-05	0.769401620200838	51.6848567024832	5.24639004340495e-06
Mrpl15	3.98778082089907	0.40749334973551	0.00557557964248101	-0.401917770093029	1.93007178574936	0.031542813633397	-1.89552009858205	0.0823569935272572	0.97545591226289	0.0871963179064252	0.12385449736717	0.97909854834459	0.169199352405679	2.43972182453094	0.136998650309367
Lypla1	5.05990475514178	0.127794569130805	-0.404626063704084	-0.532420632834889	0.9399982485575	-3.3398668879935	-3.86128399966335	0.369319153763755	0.00746860154193265	0.0031401046635561	0.445074479406449	0.0138833147694631	0.0162478468614557	8.96313942449223	0.00586127361612855
Tcea1	4.77872258813282	0.260115111022965	0.385954612149408	0.125839501126443	2.01333554607105	3.34657283684282	0.955426095596704	0.0717084930592261	0.00738456576779838	0.361837242039114	0.109958267415118	0.0137545410096639	0.488354493238769	5.37277612148267	0.0259601282928724
Rgs20	1.38960529618535	-5.38999781210992	-5.04950022468905	0.340497587420868	-16.4988706938886	-15.9677038904508	2.0744574858326	1.35604655038905e-08	1.86180002049452e-08	0.0647334767630538	7.14510501638658e-07	4.06599670100812e-07	0.135505657927764	176.89658673017	1.52226787180957e-08
Atp6v1h	5.53924326499062	-0.872586373784429	-1.02107187300806	-0.148485499223632	-7.29105893783564	-9.13782587108955	-1.2220903407362	2.59585260471264e-05	3.54942383970067e-06	0.249634456387603	0.000148941838489609	2.13285885672813e-05	0.369965093513893	46.0076110903958	8.90234236298625e-06
Rb1cc1	6.07042494292984	-0.955732696979361	-0.321109871036359	0.634622825943001	-7.28589018324752	-2.57278071315928	4.74834471723754	2.61166131364805e-05	0.0277106181878264	0.000777181192162463	0.000149725964646673	0.0440526968165661	0.006408649865991	27.4165866910614	8.6267655545221e-05
Pcmtd1	5.73034732925795	-0.174298073619538	0.0970065909057212	0.271304664525259	-1.10802619521132	0.658918587748364	1.69603861119398	0.293730137696789	0.524795540727624	0.120663887595476	0.367230209024116	0.585213600825754	0.214870576751428	1.51225561005025	0.266705117336828
Rrs1	5.38451760169559	1.01379525444085	1.47482045781052	0.461025203369672	4.50928498903066	7.17756416161221	2.02128686022018	0.00112026868472228	2.96815843059533e-05	0.0707624529357028	0.00320466545361508	0.000119763136213715	0.144694219129516	25.2657153200793	0.00012168050812098
Adhfe1	0.308882017315674	-1.28518182325139	-1.28026629092804	0.0049155323233453	-3.93089885960356	-4.66886401133355	0.0175202696813048	0.00280358140268839	0.000876854004241901	0.986365412267682	0.00694904367181691	0.00212111256789357	0.99090270734316	12.3534370733176	0.00197349390384981
